Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
chuck-70,Chuck 70,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram10.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"" stye=""border-left: 1px solid rgba(211, 211, 211,.2);"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint). </p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint).</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram9.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Sebird - Sports Shoes Responsive Shopify Theme,,"","L, M, S",true,Size,S,,,,,"",0.0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/5.1.jpg?v=1688370033,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/5.1.jpg?v=1688370033,kg,,,true,true,,,active
chuck-70,,,,,,,,,M,,,,,"",0.0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/5.2.jpg?v=1688370033,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/5.1.jpg?v=1688370033,kg,,,,,,,
chuck-70,,,,,,,,,L,,,,,"",0.0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/5.3.jpg?v=1688370033,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/5.1.jpg?v=1688370033,kg,,,,,,,
chuck-70,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/5.4.jpg?v=1688370033,4,,,,,,,,,,,,,,,,,,,,,,,,
chuck-sneaker,Chuck Sneaker,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram10.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"" stye=""border-left: 1px solid rgba(211, 211, 211,.2);"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint). </p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint).</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram9.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Sebird - Sports Shoes Responsive Shopify Theme,,"","Blue, Green, L, M, S",true,Color,Green,Size,S,,,"",0.0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.1.jpg?v=1688370040,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.1.jpg?v=1688370040,kg,,,true,true,,,active
chuck-sneaker,,,,,,,,,Green,,M,,,"",0.0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.2.jpg?v=1688370040,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.1.jpg?v=1688370040,kg,,,,,,,
chuck-sneaker,,,,,,,,,Green,,L,,,"",0.0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.3.jpg?v=1688370040,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.1.jpg?v=1688370040,kg,,,,,,,
chuck-sneaker,,,,,,,,,blue,,S,,,"",0.0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.4.jpg?v=1688370040,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.2.jpg?v=1688370040,kg,,,,,,,
chuck-sneaker,,,,,,,,,blue,,M,,,"",0.0,,0,deny,manual,20.00,,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.2.jpg?v=1688370040,kg,,,,,,,
chuck-sneaker,,,,,,,,,blue,,L,,,"",0.0,,0,deny,manual,20.00,,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/13.2.jpg?v=1688370040,kg,,,,,,,
cloudaway,Cloudaway,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram10.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"" stye=""border-left: 1px solid rgba(211, 211, 211,.2);"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint). </p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint).</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram9.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Sebird - Sports Shoes Responsive Shopify Theme,,"","L, M, S",true,Size,S,,,,,"",0.0,,0,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/9.1.jpg?v=1688370026,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
cloudaway,,,,,,,,,M,,,,,"",0.0,,0,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/9.2.jpg?v=1688370026,2,,,,,,,,,,,,,,,,,kg,,,,,,,
cloudaway,,,,,,,,,L,,,,,"",0.0,,0,deny,manual,30.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/9.3.jpg?v=1688370027,3,,,,,,,,,,,,,,,,,kg,,,,,,,
cloudaway-sneaker,Cloudaway Sneaker,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram10.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"" stye=""border-left: 1px solid rgba(211, 211, 211,.2);"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint). </p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint).</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram9.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Sebird - Sports Shoes Responsive Shopify Theme,,"","L, M, S",true,Size,S,,,,,"",0.0,,0,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/6.1.jpg?v=1688370021,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/6.1.jpg?v=1688370021,kg,,,true,true,,,active
cloudaway-sneaker,,,,,,,,,M,,,,,"",0.0,,0,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/6.2.jpg?v=1688370021,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/6.1.jpg?v=1688370021,kg,,,,,,,
cloudaway-sneaker,,,,,,,,,L,,,,,"",0.0,,0,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/6.3.jpg?v=1688370021,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/6.1.jpg?v=1688370021,kg,,,,,,,
cloudaway-sneaker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/6.4.jpg?v=1688370021,4,,,,,,,,,,,,,,,,,,,,,,,,
cloudnova-sneaker,Cloudnova Sneaker,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram10.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"" stye=""border-left: 1px solid rgba(211, 211, 211,.2);"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint). </p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint).</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram9.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Sebird - Sports Shoes Responsive Shopify Theme,,"","Black, L, M, S, White",true,Color,Black,Size,S,,,"",0.0,,0,deny,manual,32.00,35.00,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.1.jpg?v=1688370015,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.1.jpg?v=1688370015,kg,,,true,true,,,active
cloudnova-sneaker,,,,,,,,,Black,,M,,,"",0.0,,0,deny,manual,32.00,35.00,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.2.jpg?v=1688370015,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.1.jpg?v=1688370015,kg,,,,,,,
cloudnova-sneaker,,,,,,,,,Black,,L,,,"",0.0,,0,deny,manual,32.00,35.00,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.3.jpg?v=1688370015,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.1.jpg?v=1688370015,kg,,,,,,,
cloudnova-sneaker,,,,,,,,,White,,S,,,"",0.0,,0,deny,manual,32.00,35.00,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.4.jpg?v=1688370015,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.2.jpg?v=1688370015,kg,,,,,,,
cloudnova-sneaker,,,,,,,,,White,,M,,,"",0.0,,0,deny,manual,32.00,35.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.2.jpg?v=1688370015,kg,,,,,,,
cloudnova-sneaker,,,,,,,,,White,,L,,,"",0.0,,0,deny,manual,32.00,35.00,true,true,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/12.2.jpg?v=1688370015,kg,,,,,,,
condor,Condor,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram10.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"" stye=""border-left: 1px solid rgba(211, 211, 211,.2);"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint). </p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint).</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram9.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Sebird - Sports Shoes Responsive Shopify Theme,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,36.00,,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/8.1.jpg?v=1688370008,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
condor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/8.2.jpg?v=1688370008,2,,,,,,,,,,,,,,,,,,,,,,,,
condor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/8.3.jpg?v=1688370008,3,,,,,,,,,,,,,,,,,,,,,,,,
condor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/8.4.jpg?v=1688370008,4,,,,,,,,,,,,,,,,,,,,,,,,
gel-lyte-og,Gel-Lyte Og,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram10.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"" stye=""border-left: 1px solid rgba(211, 211, 211,.2);"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint). </p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">Using advanced edging technology and high-quality materials, our premium sunglasses have a luxurious look and feel with subtly curved lenses. These striking, sophisticated sunglasses offer timeless design updated with shiny gold metal accents at the temples for just a bit of bling. The wide frame and temple arms are crafted in lightweight and flexible TR90 plastic in glossy black (shown with gradient gray tint) or glossy, semi-transparent white (shown with gradient gray tint).</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0560/3137/9504/files/instagram9.jpg?v=1647005954"" class=""img-ultra"" alt=""""></div>
</div>
</div>",Sebird - Sports Shoes Responsive Shopify Theme,,"","L, M, S",true,Size,S,,,,,"",0.0,,0,deny,manual,32.00,36.00,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/3.1.jpg?v=1688370002,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/3.1.jpg?v=1688370002,kg,,,true,true,,,active
gel-lyte-og,,,,,,,,,M,,,,,"",0.0,,0,deny,manual,32.00,36.00,true,true,"",https://cdn.shopify.com/s/files/1/0785/7464/9617/products/3.2.jpg?v=1688370002,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/7464/9617/products/3.1.jpg?v=1688370002,kg,,,,,,,
